"Date","Price","Open","High","Low","Vol.","Change %"
"2009-04-22","843.50","847.30","861.80","840.60","","-0.78%"
"2009-04-21","850.10","831.20","850.10","826.80","","2.13%"
"2009-04-20","832.40","868.30","868.30","832.40","","-4.28%"
"2009-04-17","869.60","865.20","875.60","860.90","","0.50%"
"2009-04-16","865.30","854.50","870.40","847.00","","1.55%"
"2009-04-15","852.10","839.40","852.90","835.60","","1.26%"
"2009-04-14","841.50","856.90","856.90","840.20","","-2.00%"
"2009-04-13","858.70","855.30","864.30","845.40","","0.25%"
"2009-04-09","856.60","829.30","856.90","829.30","","3.81%"
"2009-04-08","825.20","816.80","828.40","814.80","","1.19%"
"2009-04-07","815.50","834.10","834.10","814.50","","-2.39%"
"2009-04-06","835.50","839.80","839.80","822.80","","-0.83%"
"2009-04-03","842.50","835.10","842.50","826.70","","0.97%"
"2009-04-02","834.40","814.50","845.60","814.50","","2.87%"
"2009-04-01","811.10","793.60","813.60","783.30","","1.65%"
"2009-03-31","797.90","790.90","810.50","790.90","","1.32%"
"2009-03-30","787.50","809.10","809.10","779.80","","-3.48%"
"2009-03-27","815.90","828.70","828.70","813.40","","-2.04%"
"2009-03-26","832.90","814.10","833.00","814.10","","2.33%"
"2009-03-25","813.90","806.80","826.80","791.40","","0.97%"
"2009-03-24","806.10","820.60","823.60","805.50","","-2.04%"
"2009-03-23","822.90","772.30","823.40","772.30","","7.08%"
"2009-03-20","768.50","784.60","788.90","766.20","","-1.98%"
"2009-03-19","784.00","797.90","803.20","781.80","","-1.31%"
"2009-03-18","794.40","776.00","803.00","765.60","","2.09%"
"2009-03-17","778.10","753.90","778.10","749.90","","3.21%"
"2009-03-16","753.90","758.80","774.50","753.40","","-0.34%"
"2009-03-13","756.50","752.00","758.30","742.50","","0.77%"
"2009-03-12","750.70","720.90","752.60","714.80","","4.06%"
"2009-03-11","721.40","719.60","731.90","713.90","","0.25%"
"2009-03-10","719.60","679.30","719.60","679.30","","6.37%"
"2009-03-09","676.50","680.80","695.30","672.90","","-1.01%"
"2009-03-06","683.40","684.00","699.10","666.80","","0.13%"
"2009-03-05","682.50","708.30","708.30","677.90","","-4.26%"
"2009-03-04","712.90","698.60","724.10","698.60","","2.38%"
"2009-03-03","696.30","704.40","711.70","692.30","","-0.64%"
"2009-03-02","700.80","729.60","729.60","699.70","","-4.67%"
"2009-02-27","735.10","749.90","751.30","734.50","","-2.35%"
"2009-02-26","752.80","765.80","779.40","751.80","","-1.58%"
"2009-02-25","764.90","770.60","780.10","752.90","","-1.06%"
"2009-02-24","773.10","744.70","775.50","744.70","","4.01%"
"2009-02-23","743.30","773.20","777.90","742.40","","-3.47%"
"2009-02-20","770.00","775.90","778.70","754.20","","-1.14%"
"2009-02-19","778.90","787.90","797.60","777.00","","-1.20%"
"2009-02-18","788.40","791.10","796.20","780.40","","-0.10%"
"2009-02-17","789.20","818.60","818.60","789.20","","-4.55%"
"2009-02-13","826.80","834.00","839.40","825.20","","-1.01%"
"2009-02-12","835.20","829.90","835.50","808.10","","0.18%"
"2009-02-11","833.70","827.40","838.20","822.30","","0.79%"
"2009-02-10","827.20","866.90","868.00","823.00","","-4.91%"
"2009-02-09","869.90","868.20","875.00","861.60","","0.15%"
"2009-02-06","868.60","846.10","870.80","845.40","","2.68%"
"2009-02-05","845.90","831.80","850.50","819.90","","1.65%"
"2009-02-04","832.20","837.80","851.90","829.20","","-0.75%"
"2009-02-03","838.50","825.70","842.60","822.00","","1.59%"
"2009-02-02","825.40","823.10","830.80","812.90","","-0.06%"
"2009-01-30","825.90","845.70","851.70","821.70","","-2.27%"
"2009-01-29","845.10","868.90","868.90","844.10","","-3.32%"
"2009-01-28","874.10","845.70","877.90","845.70","","3.36%"
"2009-01-27","845.70","837.30","850.50","835.40","","1.09%"
"2009-01-26","836.60","832.50","852.50","827.70","","0.55%"
"2009-01-23","832.00","822.20","838.60","806.10","","0.54%"
"2009-01-22","827.50","839.70","839.70","811.30","","-1.51%"
"2009-01-21","840.20","806.80","841.70","804.30","","4.35%"
"2009-01-20","805.20","849.60","849.60","804.50","","-5.28%"
"2009-01-16","850.10","844.50","858.10","830.70","","0.76%"
"2009-01-15","843.70","842.00","851.60","817.00","","0.13%"
"2009-01-14","842.60","867.30","867.30","836.90","","-3.35%"
"2009-01-13","871.80","869.80","877.00","862.00","","0.17%"
"2009-01-12","870.30","890.40","890.40","864.30","","-2.26%"
"2009-01-09","890.40","909.90","911.90","888.30","","-2.12%"
"2009-01-08","909.70","905.70","910.00","896.80","","0.34%"
"2009-01-07","906.60","927.50","927.50","902.40","","-3.01%"
"2009-01-06","934.70","931.20","943.90","927.30","","0.78%"
"2009-01-05","927.50","929.20","936.60","919.50","","-0.46%"
"2009-01-02","931.80","903.00","934.70","899.40","","3.17%"
"2008-12-31","903.20","890.60","910.30","889.70","","1.41%"
"2008-12-30","890.60","870.60","891.10","870.60","","2.44%"
"2008-12-29","869.40","872.40","873.70","857.10","","-0.39%"
"2008-12-26","872.80","869.50","873.70","866.50","","0.54%"
"2008-12-24","868.10","863.90","869.80","861.40","","0.57%"
"2008-12-23","863.20","874.30","880.40","860.10","","-0.96%"
"2008-12-22","871.60","887.20","887.40","857.10","","-1.84%"
"2008-12-19","887.90","887.00","905.50","883.00","","0.29%"
"2008-12-18","885.30","906.00","911.00","877.40","","-2.11%"
"2008-12-17","904.40","908.20","918.90","895.90","","-0.96%"
"2008-12-16","913.20","871.50","914.70","871.50","","5.13%"
"2008-12-15","868.60","881.10","884.60","857.70","","-1.26%"
"2008-12-12","879.70","871.80","883.20","851.40","","0.70%"
"2008-12-11","873.60","898.40","904.60","868.70","","-2.85%"
"2008-12-10","899.20","892.20","908.30","885.50","","1.18%"
"2008-12-09","888.70","906.50","916.30","885.40","","-2.31%"
"2008-12-08","909.70","882.70","918.60","882.70","","3.84%"
"2008-12-05","876.10","844.40","879.40","818.40","","3.66%"
"2008-12-04","845.20","869.80","875.60","833.60","","-2.93%"
"2008-12-03","870.70","843.60","873.10","827.60","","2.58%"
"2008-12-02","848.80","817.90","850.50","817.90","","3.99%"
"2008-12-01","816.20","888.60","888.60","815.70","","-8.93%"
"2008-11-28","896.20","886.90","896.20","881.20","","0.96%"
"2008-11-26","887.70","852.90","887.70","841.40","","3.53%"
"2008-11-25","857.40","853.40","868.90","835.00","","0.66%"
"2008-11-24","851.80","801.20","865.60","801.20","","6.47%"
"2008-11-21","800.00","755.80","801.20","741.00","","6.33%"
"2008-11-20","752.40","805.90","820.50","747.80","","-6.72%"
"2008-11-19","806.60","859.00","864.60","806.20","","-6.11%"
"2008-11-18","859.10","852.30","865.90","826.80","","0.98%"
"2008-11-17","850.80","873.20","882.30","849.00","","-2.58%"
"2008-11-14","873.30","904.40","916.90","869.90","","-4.17%"
"2008-11-13","911.30","853.10","913.00","818.70","","6.92%"
"2008-11-12","852.30","893.40","893.40","850.50","","-5.19%"
"2008-11-11","899.00","917.10","917.10","884.90","","-2.20%"
"2008-11-10","919.20","936.80","952.00","907.50","","-1.27%"
